Quelle est la caractéristique principale d’un arbre binaire ?,Chaque nœud a au plus deux enfants,Chaque nœud a un nombre illimité d’enfants,Les valeurs des nœuds sont uniques,Les feuilles sont toujours au même niveau,Chaque nœud a au plus deux enfants,none
Comment insère-t-on un élément dans un arbre binaire de recherche ?,À gauche si plus petit, à droite si plus grand,À droite uniquement,À gauche uniquement,À un emplacement aléatoire,À gauche si plus petit, à droite si plus grand,none
Quelle est la complexité moyenne de la recherche dans un arbre binaire de recherche équilibré ?,O(log n),O(n),O(1),O(n log n),O(log n),none
Quel parcours d’arbre suit l’ordre : gauche – racine – droite ?,Infixe,Préfixe,Postfixe,Niveau par niveau,Infixe,none
Quel mot-clé permet de définir un record en Java ?,record,class,struct,data,record,none
Les records en Java sont-ils immuables ?,Oui,Non,Seulement si les champs sont privés,Seulement si définis final,Oui,none
Pourquoi utiliser un record au lieu d’une classe ?,Réduire le code pour des structures de données simples,Améliorer les performances,Rendre le code plus abstrait,Autoriser l’héritage multiple,Réduire le code pour des structures de données simples,none
Quelle méthode est automatiquement générée dans un record ?,equals(),hashCode(),toString(),Toutes ces réponses,Toutes ces réponses,none
Quelle est la signature d’une interface fonctionnelle ?,Une interface avec une seule méthode abstraite,Une interface avec plusieurs méthodes abstraites,Une classe implémentant plusieurs interfaces,Une classe contenant des méthodes abstraites,Une interface avec une seule méthode abstraite,none
Quelle annotation est utilisée pour déclarer une interface fonctionnelle ?,@FunctionalInterface,@Override,@Interface,@Lambda,@FunctionalInterface,none
Quelle syntaxe permet de créer une expression lambda ?,() -> {},new Lambda(),lambda() {},None of the above,() -> {},none
Quel est l’avantage principal des interfaces fonctionnelles ?,Permettre l’utilisation des expressions lambda,Supporter l’héritage multiple,Améliorer la lisibilité des classes,Créer des objets plus rapidement,Permettre l’utilisation des expressions lambda,none
Quel type de classes internes existe-t-il en Java ?,Classes statiques internes,Classes locales,Classes anonymes,Toutes ces réponses,Toutes ces réponses,none
Quelle est la particularité d’une classe interne statique ?,Elle ne peut pas accéder aux membres non statiques de la classe englobante,Elle peut être instanciée sans instance de la classe englobante,Elle ne peut contenir que des variables statiques,Elle ne peut pas accéder aux membres non statiques de la classe englobante;Elle peut être instanciée sans instance de la classe englobante,none
Dans quelle situation utilise-t-on une classe interne ?,Quand la classe n’a de sens qu’avec la classe englobante,Quand elle doit être accessible dans tout le package,Quand elle doit être publique,Quand elle a un constructeur privé,Quand la classe n’a de sens qu’avec la classe englobante,none
Quel est l’intérêt d’un itérateur en Java ?,Parcourir une collection sans exposer son implémentation,Accélérer la recherche dans une liste,Modifier une collection tout en la parcourant,Créer une nouvelle liste plus efficacement,Parcourir une collection sans exposer son implémentation,none
Comment vérifier s’il reste un élément à parcourir avec un itérateur ?,hasNext(),next(),hasElement(),isNotEmpty(),hasNext(),none
