Que vaut l'opération 2^{31} - 1 + 2 dans le cas d'un entier signé sur 32 bits ?,0,-2^{31} + 1,-2^{31},2^{31},-2^{31},none
Quelles fonctions de manipulation de chaînes de caractères sont des "suspectes habituelles" dans les Buffer Overflows car elles ne vérifient pas correctement la longueur de la chaîne ?,strcpy(),gets(),strncpy(),memcpy(),strcpy();gets(),none
Quels éléments sont stockés dans la pile (Stack) de la mémoire d'un programme ?,Les variables globales initialisées,Les variables locales,Les environnements de fonction durant les appels (stack frames),Les variables allouées dynamiquement (Heap),Les variables locales;Les environnements de fonction durant les appels (stack frames),none
Quelles sont les conséquences possibles du fait d'écraser l'adresse de retour (return address) lors d'un débordement de tampon ?,Pointer vers une instruction invalide,Déclencher une violation d'accès,Accéder à une adresse inexistante,Pointer vers le code malveillant de l'attaquant (shellcode),Pointer vers une instruction invalide;Déclencher une violation d'accès;Accéder à une adresse inexistante;Pointer vers le code malveillant de l'attaquant (shellcode),none
Quel est l'objectif principal de la protection par "Canaries" (valeurs sentinelles)?,Détecter les modifications inattendues des valeurs sur la pile,Randomiser les adresses des segments de mémoire,Empêcher l'exécution de code injecté dans la pile,Limiter la quantité de données copiées par les primitives libc,Détecter les modifications inattendues des valeurs sur la pile,none
Quel est le principe de la protection NX/W XOR X (Non Executable Memories)?,Insérer une valeur secrète après l'adresse de retour,Rendre le code non position-indépendant,Diviser les régions de mémoire de sorte qu'aucune région ne soit à la fois inscriptible et exécutable,Utiliser des gadgets ROP,Diviser les régions de mémoire de sorte qu'aucune région ne soit à la fois inscriptible et exécutable,none
Quelle technique d'attaque est spécifiquement conçue pour contourner les protections NX (W XOR X)?,Code injection (Shellcodes),Format string attacks,Return-to-libc attacks,Return Oriented Programming (ROP),Return-to-libc attacks;Return Oriented Programming (ROP),none
Quelles sont les trois propriétés nécessaires à l'existence d'une condition de concurrence (Race Condition)?,Objet Partagé (accédé par les deux flux),Changement d'État (au moins un flux modifie l'objet),Exécution mutuellement exclusive,Concurrence (au moins deux flux de contrôle),Objet Partagé (accédé par les deux flux);Changement d'État (au moins un flux modifie l'objet);Concurrence (au moins deux flux de contrôle),none
Dans quelles phases du processus d'utilisation d'un privilège les vulnérabilités par condition de concurrence surviennent-elles typiquement ?,Lorsqu'on exerce ce privilège,Lorsqu'on vérifie un privilège donné,Lorsqu'on utilise des types atomiques,Lorsqu'on effectue un appel système bloquant,Lorsqu'on exerce ce privilège;Lorsqu'on vérifie un privilège donné,none
Comment les conditions de concurrence peuvent-elles être éliminées, selon les sources ?,En augmentant la complexité du code,En utilisant uniquement des types atomiques,En évitant les appels systèmes,En rendant les opérations conflictuelles mutuellement exclusives,En rendant les opérations conflictuelles mutuellement exclusives,none
Quelles méthodes un attaquant peut-il utiliser pour améliorer ses chances d'exploiter une condition de concurrence ?,Utiliser une structure de répertoires profondément imbriquée combinée à des liens symboliques,Tenter l'attaque de manière répétée,Ralentir la machine ou le processus victime,Forger une adresse de retour,Utiliser une structure de répertoires profondément imbriquée combinée à des liens symboliques;Tenter l'attaque de manière répétée;Ralentir la machine ou le processus victime,none
